"","MLocID","Disturb.score","BPJ_final","Ref2020_FINAL","Lat_DD","Long_DD","StationDes","EcoRegion3"
"50","MO-SS-1004",4,"Score","YES",42.005341,-118.215727,"SAGE CREEK",80
"51","MO-SS-1069",2,"Score","YES",42.309219,-118.026125,"DRY CREEK",80
"52","MP-SS-2108",0,"Score","YES",42.131844,-123.298883,"MP-SS-2108: Rock Creek",78
"53","NW-SS-9262",13,"N","NO",41.883926,-118.334099,"NW-SS-9262: Rodeo Creek",80
"54","ORBAD1005",7,"Score","YES",45.28212,-121.465,"UPPER BADGER CREEK",9
"55","ORBAD1007",7,"Score","YES",45.29165,-121.4821,"UPPER BADGER CREEK",4
"56","ORBAD1015",6,"Score","YES",45.28794,-121.4776,"UPPER BADGER CREEK",9
"57","ORBES1003",2.33333333333333,"Score","YES",42.72131,-122.2779,"UPPER MIDDLE FORK ROGUE RIVER",4
"58","ORBES1006",16,"Score","NO",42.73618,-122.3512,"UPPER MIDDLE FORK ROGUE RIVER",4
"59","ORBES1010",16,"Score","NO",42.72713,-122.3134,"UPPER MIDDLE FORK ROGUE RIVER",4
"60","ORBES1016",1,"Score","YES",42.72058,-122.2499,"UPPER MIDDLE FORK ROGUE RIVER",4
